_id,user_id,name,review_count,useful,average_stars,review_id,stars,useful_review,text,date,time
65ddcc66fa4711915dcb38ab,JprmPc4cZ_TrydXRhWo2gg,Daisy,6,2,3.17,ZSWElIT1Se_Z1iOD4TO8Ug,1,0,Worse service... Nasty and dry meat... Never again,2012-04-21,07:35:01
65ddcc67fa4711915dcb66fe,E5d30UjstDvJwvoaWtX2QA,Phil,53,100,3.9,3vjzebA1Ay3N3bcWTJjCVw,1,0,"Assigned seats, overpriced, Penn kids...nuff said.",2009-03-11,16:25:41
65ddcc67fa4711915dcb68ec,xyFtRXaTjhStZB3Zb9uFvA,Leo,416,559,3.39,IsRlYbiVmpPTk1FcjDgORA,1,6,Don't go.\nRude staff. \nBad food.\nNot that cheap.\nUgly/No decor.,2008-01-16,01:17:33
65ddcc67fa4711915dcb6d09,tr6YCHDt7gNx8CXWPtMLKQ,Ryan,58,36,4.03,Cv_2-IaOc4FB-e1g_faPbg,1,1,Zero stars. Very unclean and below average food.,2013-02-28,04:59:28
65ddcc67fa4711915dcb7846,dbKIZNN6N_X5Vq93P408Fw,Epi,112,167,3.75,oQQC52gVFh3sqGyJuulHJg,1,2,Id rather eat the inside of a bear's asshole.,2010-07-26,18:07:36
65ddcc66fa4711915dcb3402,lfS2n5r2go3QuaOO7mtYwQ,Terrence,22,25,4.65,qeiHv7vXL1lnxEpRXQWYrg,5,3,Very solid dealership! Buy a car from Lou Fusz,2010-01-28,07:33:28
65ddcc66fa4711915dcb39ce,FhydOYT0JYsk0iTcwzggpw,Meghann,133,183,4.14,cgHpQNEMuenJnGM53rEq-g,5,0,"LOVE\nLove the food, service, atmosphere, drinks, candles, just everything!",2011-11-09,01:30:29
65ddcc66fa4711915dcb3cd8,Ks4NWUzT6XUwEhwJAPCXkQ,Erin,21,69,3.85,RPOV-FR6ywx3p0kaM1mngg,5,2,Best Brazilian wax in town! Linda is awesome!,2013-04-13,23:20:15
65ddcc66fa4711915dcb4348,ky2gg_oijvauflvRmaNLNg,Stephen,41,35,3.9,tSOGQ-kg9axRFkrOzU5PSw,5,2,Best restaurant in Tucson. \n\nEspecially for a romantic dinner.,2009-06-16,23:27:22
65ddcc66fa4711915dcb443a,ooggWWMRHQngQ7iaF2eANQ,Ashley,62,45,4.51,mQX1azMYT2syiYePqL0fRA,5,0,"LOVE Lush, Excellent customer service! Get a Bubble Bar!",2010-11-24,10:59:22
65ddcc66fa4711915dcb47f4,Im673PmMlvLmLKuJ16xYIw,Taylor,120,103,4.62,BDlxw0spRk60quHzEO-2fg,5,0,"Amazing food some of the best in Franklin,  TN",2010-12-01,17:30:27
65ddcc66fa4711915dcb4b0d,KXYRjdlgg-Gw7mwF22ZAJg,Dennis,450,430,3.83,yIH2okT3XWNC7MdA5-UUcg,5,1,delicious delicious delicous. Get the special tacos,2013-03-08,15:17:06
65ddcc66fa4711915dcb4b24,MyygkD3dogiXoh8YE1yPsQ,Shellie,34,51,4.46,eTeU8O1CRxNNkMvhYSqzlA,5,0,Best truffles in the whole wide world! Mmmmm.... :),2011-10-18,22:37:11
65ddcc66fa4711915dcb525c,WRLtzAtowE1Bo8yn5WGsVA,Ivy,142,108,4.01,omFce5bFT-iL5fAt769QnA,5,0,Always a great time! Gotta get your crabby fries!,2010-10-19,21:21:46
65ddcc66fa4711915dcb54a1,ZZD8a6HUK_EMmzk7XxbH2g,Abby,26,16,3.96,8h9BT3C27Z6lA7LOtBh1BQ,5,0,Ahi Tuna WAS delicious! Beautiful Waterview scenery. Very relaxing!,2010-10-12,23:22:42
65ddcc66fa4711915dcb5983,LhnoqfSZobV3bch7of-Kaw,Ellen,892,3045,3.53,PkA2c59KC0y0pLRnVQJ9Hw,5,1,"You suck NOLA, you let this place die!!!\n\n*single tear",2010-06-15,21:13:59
65ddcc66fa4711915dcb5b9b,01usVP19UJLFPGwsF4_xBw,Ting Ting,78,167,3.68,LCAXMiA7NkM8TfgKnfU5Sw,5,2,"EXCELLENT service, delicious fresh carefully made sushi!",2009-12-14,17:01:53
65ddcc66fa4711915dcb607e,I6YARR1VloAua-buFULo1Q,Tanya,963,1305,3.48,8U_IZq0fIrTcRECKkq4RfQ,5,0,Awesome produce and baked goods.,2009-09-28,00:22:09
65ddcc67fa4711915dcb6486,T7HAzOyvaDxFXU-nl1_74Q,Oznur,177,213,4.05,kiygrgegrlEdhYL3wppEsg,5,0,great foodm - great service.. French toast..oooo mmmmm gggggggggg,2013-12-24,09:34:23
65ddcc67fa4711915dcb6584,qA_8SkGk6ub8nTjoY1q6Cw,Benjamin,194,334,3.63,n9LCji-CfzC5A3PAMPpVVA,5,0,Great Beer Selection!\nGreat Vegan/Veggie options!\nBike / Enviro Friendly operation!,2010-02-21,03:42:02
65ddcc67fa4711915dcb66b3,xT0oxEfJkAa2l5G3_BBY2g,Mary,138,233,4.21,T2zzZ4yB-0KPMhxPVAABsQ,5,0,Try the mayan chocolate with the coconut. Great mix!,2014-07-16,14:17:15
65ddcc67fa4711915dcb6760,UwlNPjxixHcNVEltCOXYkw,B,60,27,3.16,DiNwy-dOmb4jymls-giOxA,5,0,Alex hooks it up...hands down best BBQ in town.,2013-07-02,00:22:01
65ddcc67fa4711915dcb6830,OSFIeCqeQQqcrVAzdPWxTQ,Jeff,47,94,4.13,eBgaDpFfd0dkdUBUP4oNTw,5,0,Hands-down our favorite donut joint in South St. Louis.,2009-07-01,03:25:01
65ddcc67fa4711915dcb68f2,xyFtRXaTjhStZB3Zb9uFvA,Leo,416,559,3.39,fj3jPxdLWVe4PEbFg-aTXg,5,3,By far the best rental place in the city.,2008-04-13,17:52:59
65ddcc67fa4711915dcb69c0,-Tzw8xAp1I-FuoZgGT-OxQ,S,45,72,3.76,MQ2ye37rXcutCy9mgJr2tw,5,1,Ted Drewes concrete + oreos = euphoria,2008-07-17,23:46:12
65ddcc67fa4711915dcb6dd5,Mf2NAhMTiYk0DC0fZjhNMw,Sally,341,422,3.86,drlukMjI0JoT2H8ytj_7mQ,5,0,"fabulous food. wow. just go and try something, anything.",2009-02-02,00:34:22
65ddcc67fa4711915dcb7005,RoW1Eml8fNYC2a_i9Y__rA,Brian,33,31,4.15,3ZE3BRN71HcMiv5X6i8uGg,5,0,The vegan ranch fake chicken burger is AMAZING.,2013-08-05,19:18:02
65ddcc67fa4711915dcb71c9,a7u0pCIIKDFN65a0bvthKw,Sean,43,29,4.36,pjZ0HplKuGH-jeT_sdBRaA,5,0,Soft tofu jigae. Awesomeness and with great rice.very authentic,2013-05-11,01:05:19
65ddcc67fa4711915dcb76f2,JWC-IKLUbyI39_0w3D0gKA,Simon,36,32,3.89,iNpNKjZGxHJ4LfdrA_EEFw,5,0,Love this Jerry bobs best one in town,2010-06-18,17:39:11
65ddcc67fa4711915dcb7a5e,tnNhtuoywPN_8eHKZeE73Q,Shelly,45,79,3.84,pKABf-rRxdr_pnT1cALtRw,5,0,Love their sushi. Ask for Teresa she's the best!,2013-02-25,23:53:29
